0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,
1.24,0.41,-0.23,0.49,0.14,1.51,0.12,0.63,0.59,1.1,3.55,2.51,-0.85,-3.75,1.36,4,0.63,-3.06,0.11,1.84,-1.56,1.6,0.47,-1.8,-1.26,0.49,0.38,-0.52,-0.93,-0.47,-106.08,74.04,90.21,156.31,-174.8,-42.97,73.97,-19.04,-78.67,32.59,123.05,-232.3,211,15.5,5.86,-119.93,-3.48,21.3,50.78,-79.35,246.15,-222.23,-327.03,6.84,405.94,73.61,-248.23,-69.09,181.27,60.18,0,0,1
1.26,-0.03,0.87,0.26,0.25,1.29,0.55,0.86,0.36,1.19,4,0.76,-2.11,-1.55,0.28,3.96,-0.91,-0.68,-0.16,1.57,-2.02,-1.25,-1.57,1.25,2.12,-2.57,-1.96,-0.3,1.97,-1.05,-34.85,25.39,49.32,114.01,50.48,-82.34,159.79,94.67,-55.79,-23.99,418.09,-45.04,-130.43,-209.29,200.5,241.46,-115.91,-189.09,-55.54,161.56,127.56,-351.56,-152.4,44.62,259.7,75.74,-234.62,-8.61,105.96,69.52,0,0,1
0.92,-0.14,0.31,0.45,0.59,-0.02,0.16,0.68,0.21,0.5,3.81,2.72,-0.27,-2.78,2.54,3.32,0.06,-3.99,0.93,3.14,-1.82,1.48,-0.09,-1.98,-2.89,2.1,-0.65,-1.16,-1.8,0.81,-100.83,75.74,206.54,-154.54,-127.01,77.21,278.63,-168.7,-95.15,106.02,-183.9,-59.27,122.01,66.53,-69.03,-140.56,93.38,72.51,29.48,-44.68,281.68,-273.74,-221.86,180.05,333.92,-230.16,-306.03,129.76,353.88,22.58,0,0,1
-0.04,-0.75,-0.89,-1.21,0.15,0.09,-0.53,-0.66,-0.22,0.56,-3.11,0.12,4,1.65,-2.95,-1.83,2.86,3.8,-0.11,-1.54,-3.3,-2.82,-0.41,2.82,-1.19,-2.98,-1.99,1.35,-0.26,-1,150.15,-113.34,101.56,-10.01,144.04,-118.96,100.89,-1.83,52.25,-31.25,311.34,-127.99,-350.65,19.29,315,11.78,-131.04,-31.43,81.3,39.25,-12.02,334.84,22.83,-349.43,-194.52,233.52,286.13,-215.27,-245.3,-52.49,0,0,1
-0.74,-0.97,0,0.41,-0.34,-0.47,-0.28,0.52,-0.04,-0.47,3.66,-0.81,-0.26,1.29,3.35,1.52,-0.58,0.83,2.68,0.85,-1.9,-3.36,0.41,2.96,-0.38,-3.79,-0.19,2.82,-0.48,-2.86,208.31,-106.2,-259.46,-24.11,237.79,-7.14,-217.29,-12.15,233.7,76.17,361.27,-108.34,-259.09,35.34,369.69,113.95,-310.85,-58.29,305.42,159.85,-236.39,-264.89,209.35,211.85,15.2,-181.03,58.96,148.62,1.89,-154.91,0,0,1
-0.49,-1.03,-0.15,-0.01,-0.55,-0.65,-0.77,-0.01,0.24,-0.03,3.88,0.63,-1.45,-1.54,2.25,4,2.41,-1.77,-1.93,2.28,2.2,2.4,-0.79,-3.26,-2.63,0.7,2.17,-0.87,-3.08,-2.44,-126.16,53.59,198.43,-66.22,-16.66,55.24,-45.96,140.32,-57.98,-54.93,-322.08,37.9,416.93,117.8,-121.77,-374.33,8.73,318.3,110.53,-99.79,-246.95,-348.08,-67.26,273.68,374.57,-1.4,-381.84,-137.33,157.96,245.61,0,0,1
1.06,0.02,0.41,-0.03,-0.2,0.83,0.04,0.32,0.22,0.02,4,1.52,-0.69,-4,-0.21,4,2.13,-1.71,-3.63,-0.16,-1.72,-0.18,0.25,0.41,-0.31,-1.23,-0.35,0.69,0.41,-0.42,-64.58,51.94,-57.43,71.78,-30.94,-18.49,32.84,-42.6,59.51,-29.42,187.13,-155.03,-121.89,-43.82,132.63,158.14,-129.82,-163.88,-0.43,128.17,226.2,-325.26,-302.61,66.96,403.75,290.34,-327.76,-247.62,60.49,344.48,0,0,1
3.1,2.69,0,-1.35,0.05,2.59,3.26,0.6,-1.21,-0.17,1.88,1.47,-0.33,-1.51,-0.15,1.26,2,0.27,-1.26,-0.28,-2.34,-1.82,0.25,1.5,0.63,-1.85,-1.74,-0.13,1.41,0.9,-26.25,-29.91,45.17,7.45,-56.27,-1.04,-32.59,0.31,18.19,-50.9,90.94,-101.01,-244.45,-96.01,173.52,168.7,-40.53,-217.1,-102.48,130.62,4.39,-51.94,-109.44,27.1,90.39,97.29,-28.14,-123.54,-15.56,44.13,0,0,1
1,1.96,-0.19,-0.69,-0.46,1.59,0.71,-0.17,-0.23,0.99,1.49,4,2.61,-3.96,-2.32,4,3.35,-1.88,-3.32,1.21,-3.32,-2.64,4,-0.01,-2.21,-3.12,1.65,0.76,-0.6,-1.43,83.92,28.26,-102.6,5.55,14.89,187.13,75.93,9.34,109.68,-15.69,237.37,-80.51,-91.49,420.35,176.27,132.63,-450.07,-36.07,-24.78,146.67,489.2,195.62,-295.59,-133.73,305.85,365.17,-271.67,-252.26,82.21,170.41,0,0,1
-1.69,-1.78,-1.21,-0.16,0.2,0.22,0.33,0.76,0.9,0.91,-0.81,-2.72,0.11,-0.97,-0.1,0.22,-0.51,0.06,0.2,0.12,3.66,-1.48,-4,-2.76,-1.1,-0.08,0.86,0.54,-0.22,-0.38,-66.96,-297.18,-290.89,295.04,25.82,18.92,175.72,6.04,0.55,60.55,348.88,906.25,395.69,-292.24,-299.07,-350.65,-300.84,-32.29,4.33,-33.33,-106.87,-59.2,81.67,-80.08,65.98,13.18,-32.59,37.17,22.03,13.31,0,0,1
-0.9,-0.31,-0.04,0.16,-1.2,-1.65,-1.01,-0.37,0.54,0.64,1.3,-1.17,-0.49,0.36,-0.97,-1.83,0.29,-2.09,0.05,1.06,-3.98,-4,-0.89,4,3.63,0.36,-4,-2.52,-0.18,1.07,-356.69,222.23,148.25,124.45,-141.48,-267.27,-184.33,315.86,108.22,14.71,718.32,-267.4,-577.45,-578.49,619.38,726.75,460.57,-421.69,-400.15,-326.66,161.56,-231.81,-10.13,-105.9,-63.54,60.18,-23.74,-76.35,125.92,25.51,0,0,1
0.89,1.06,0.71,0.48,0.69,0.93,1.02,1.04,1,0.95,4,1.6,-0.23,-1.59,-1.42,-0.33,0.13,0,-0.13,-0.34,-0.99,-0.43,-0.3,-0.26,-0.13,-0.25,-0.16,-0.3,-0.18,-0.13,-112.79,4.15,-40.83,0.85,3.3,-8.48,10.13,1.83,-1.89,0.49,173.34,-62.5,-24.23,-12.57,-19.17,-10.19,-16.54,-14.71,-19.1,-19.9,607.24,-333.92,-251.28,-185.3,-35.22,51.88,36.5,-21.97,-34.42,-37.11,0,0,1
