0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,forehand,topspin,bad form
-3.76,-4,-4,-4,-4,-4,-4,-2.62,-1.84,-1.19,3.31,4,4,4,3.09,-1.57,-0.63,-0.65,-1.04,-0.93,-0.84,-1.31,-2.5,-4,-1.81,0.36,1.19,0.75,0.9,1.32,223.82,282.23,353.45,317.08,-175.78,-446.47,233.28,91.61,-50.96,22.83,127.81,166.44,501.1,622.8,202.03,-213.5,-149.54,14.22,-21.06,-34.55,-201.29,-451.11,-1037.29,-1573.12,-1427.12,-898.38,-292.79,-194.34,-28.99,62.13,1,1,0
-4,-4,-4,-4,-4,-4,-3.83,-2.16,-1.38,-0.8,2.18,4,4,4,2.58,-0.95,-1.24,-0.25,-1.01,-1.43,-1.09,-1.67,-1.19,-1.78,0.44,1.38,0.96,1.04,1.29,1.07,122.62,132.63,6.65,-19.41,-146.67,-196.96,82.7,35.4,-21.06,-16.85,255.55,211.43,195.56,242.25,-34.97,-131.9,3.42,22.52,64.33,43.03,-349.3,-565.49,-1217.83,-1583.86,-1330.14,-998.78,-354.06,-129.03,-60,51.51,1,1,0
-4,-4,-4,-4,-4,-4,-2.83,-1.8,-1.28,-0.89,4,4,4,2.37,0.11,-1.33,-1.45,-1.14,-1.33,-1.16,-0.85,-1.04,-1.73,-0.68,0.46,1.11,0.46,0.82,1.15,0.87,218.81,180.66,-2.32,-175.66,-56.7,68.66,-3.17,-49.13,-7.02,-23.74,152.83,351.56,452.21,153.32,-170.65,-56.4,44.19,24.6,29.24,51.21,-508.18,-888.61,-1478.76,-1366.52,-852.11,-585.33,-178.47,-36.38,16.78,109.07,1,1,0
-4,-4,-4,-4,-4,-2.61,-1.71,-1.05,-0.67,-0.49,4,4,2.72,-0.46,-0.72,-1.4,-1.37,-0.98,-0.75,-0.06,-2.35,-2.49,-1.05,1,1.6,0.97,0.93,1.28,1,0.59,62.62,46.02,-173.52,-81.42,67.26,-2.08,-32.04,-5.25,0.18,7.2,197.45,12.88,16.05,-197.69,-67.63,59.88,32.41,-4.76,45.47,-2.2,-1399.11,-1499.88,-1239.14,-794.8,-318.79,-150.02,39.55,137.45,195.5,267.4,1,1,0
-2.66,-4,-4,-4,-4,-4,-3.32,-1.68,-0.98,-0.34,3.94,4,4,4,1.07,-0.78,-1.18,0.24,-0.58,-0.53,-1.83,-2.67,-3.95,-4,-3.84,-1.16,-0.78,0.91,1.3,1.02,239.26,337.83,606.45,470.34,-228.52,-8.61,18.01,94.36,-7.45,-75.26,133.73,93.2,281.07,487.79,-43.27,-172.24,-117.68,-179.69,-11.05,-19.41,-117.13,-352.23,-879.27,-1389.16,-1188.54,-893.19,-302.31,-69.7,-43.03,29.48,1,1,0
-2.36,-3.71,-4,-4,-4,-4,-4,-2.41,-1.91,-0.92,2.8,4,4,4,2.86,-0.06,-1.57,-0.17,-1.16,-1.03,-2.11,-2.67,-4,-3.87,-3.31,-1.62,0.36,0.7,1.07,1.39,228.64,273.74,331.36,383.73,65.86,-23.56,-9.64,98.63,-34.55,-56.15,127.99,138.67,234.92,133.3,111.21,-79.35,-166.56,-64.03,8.67,-10.38,-158.39,-292.11,-788.02,-1250.79,-1353.15,-978.7,-481.38,-225.16,-75.87,23.74,1,1,0
-3.88,-4,-4,-4,-4,-4,-2.68,-1.86,-1.2,-0.72,3.96,4,4,3.34,-0.37,-1.86,-0.59,-0.49,-0.33,-0.39,-2.46,-3.73,-4,-4,-2.2,0.07,1.16,1.19,1.07,1.15,311.1,357.67,452.33,127.81,-249.82,-135.68,115.17,-8.73,-74.83,-41.32,121.4,161.44,248.66,135.31,-83.37,-347.11,-217.65,-37.41,21.73,34.48,-341.98,-620.67,-1056.76,-1317.26,-1043.64,-539.37,-137.21,-39.86,33.57,71.53,1,1,0
-3.06,-4,-4,-4,-4,-4,-4,-2.88,-2.13,-1.53,3.19,4,4,4,1.52,0.05,-2.2,-0.88,-1.09,-1.3,-1.06,-1.64,-2.34,-1.82,-1.08,-1.19,0.71,1.81,1.66,1.69,157.59,254.09,154.79,69.21,-96.86,74.46,-277.95,129.39,68.97,-19.84,124.94,200.56,258.91,43.82,4.82,-120.73,-166.99,-176.09,-61.46,-16.85,-249.39,-413.51,-888.24,-1265.87,-1266.36,-1027.04,-473.08,-153.56,-47.18,86.43,1,1,0
-4,-4,-4,-4,-4,-4,-4,-2.08,-1.23,-0.85,3.22,2.97,3.22,2.89,-2.6,-3.32,-3.14,-2.08,-1.9,-2,0.3,-1.34,1.24,1.72,0.1,1.97,1.14,0.33,0.84,0.71,97.11,-35.95,-168.82,-200.26,-194.64,-117.25,142.76,17.76,43.27,59.33,402.34,388.61,131.59,173.03,87.1,-135.99,-2.2,12.51,-32.17,-18.98,-320.62,-508.12,-756.84,-1216.61,-1157.23,-705.99,-484.74,-127.26,-32.96,46.14,1,1,0
-4,-4,-2.09,-0.99,-0.28,-0.24,-0.35,-0.56,-0.92,-1.04,-2.67,-3.11,-2.57,-1.79,-1.38,-0.95,-0.58,-0.43,-0.46,-0.29,0.53,0.69,0.55,0.86,0.57,0.58,0.75,0.79,0.63,0.57,-286.62,123.6,-25.57,58.23,69.76,57.43,23.25,-27.04,-64.76,-28.93,155.09,16.11,52.67,6.96,-5.74,-82.21,-114.81,-94.06,-95.76,-146.06,-782.04,-332.76,-47.55,72.33,115.23,155.88,190.67,194.52,247.5,248.6,1,1,0
