0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-4,-4,-4,-0.27,-0.6,-0.12,0.04,-0.12,-0.33,-0.26,4,4,4,4,1.82,1.33,1.42,1.12,0.86,1.44,0.64,2.73,3.16,1.45,1.68,1.09,0.78,0.91,0.88,0.67,151.73,-17.88,-192.63,119.51,-95.7,38.09,-18.62,-35.1,5.31,-83.31,-238.95,-398.01,-21.97,-61.16,28.81,13.43,26.06,18.92,26.18,47.55,1130.13,981.45,708.86,189.88,-74.77,-11.47,-31.74,-100.59,-97.78,-120.73
-3.32,-4,-4,-4,-2.56,-0.99,-0.4,-0.23,-0.14,-0.14,-3.65,-2.64,1.67,4,4,4,2.49,1.57,1.24,0.99,1.14,1.88,2.86,4,2.54,2.09,0.91,0.16,0.28,0.32,31.31,312.13,516.24,312.38,-330.02,115.78,3.85,13.49,-50.42,-45.1,87.59,-95.46,-273.68,-466.86,65.98,-59.08,109.07,49.01,32.47,23.62,200.07,637.76,966.06,750.37,568.36,147.03,9.64,-7.57,-24.54,-48.34
-2.49,-3.98,-0.92,-0.29,-0.19,-0.02,-0.17,-0.18,-0.26,-0.47,4,3.1,4,2.82,1.39,1.26,1.01,1,1.17,1.55,3.55,2.84,1.07,1.36,1.29,0.74,0.69,0.75,0.59,0.54,60.67,-265.2,255.49,-181.15,17.27,11.54,-98.82,-89.05,-28.69,-105.96,-375.55,42.05,-156.37,36.93,-2.56,35.4,56.64,34.85,11.54,15.63,750.98,393.31,305.05,-8.24,-22.46,-59.33,-86.49,-100.28,-136.41,-161.56
-3.43,-4,-4,-4,-4,-1.97,-0.63,-0.48,-0.04,-0.19,-3.36,-3.03,1.1,4,4,4,3.28,1.17,1.22,0.95,0.57,1.16,1.81,4,4,-0.74,1.41,0.89,0.36,0.62,-138.85,248.23,213.01,395.39,-190.8,-240.54,39.06,-22.52,57.68,-44.8,-36.93,-182.56,-271.85,-494.87,-151.73,318.91,-16.91,38.45,13.61,24.96,-51.15,547,1053.16,916.81,659.79,635.13,-125.92,-45.29,-63.84,-95.64
-3.3,-4,-4,-4,-4,-2.66,-0.37,-0.9,-0.11,-0.17,-3.61,-3.34,-0.23,4,4,4,4,1.69,1.26,0.92,1.21,1.76,1.74,3.74,4,1.95,0.79,1.91,0.69,0.25,-119.93,196.47,484.31,640.81,160.1,-422.49,20.14,93.44,-75.87,-15.2,34.61,39.43,-151.55,-556.7,-480.83,242,41.81,-42.97,133.3,93.2,-176.27,387.82,881.23,894.84,587.28,620.36,235.6,-56.76,10.13,-38.02
-4,-0.69,-0.09,-0.04,0.11,-0.05,-0.01,-0.03,-0.08,-0.05,4,4,3.77,1.7,1.3,1.08,0.96,0.68,0.67,0.68,4,0.73,-0.45,1.13,0.97,0.57,0.6,0.71,0.61,0.4,-123.66,-120.24,-11.17,-86.06,-70.43,-34.79,-63.72,-109.19,-24.72,-15.44,-238.59,257.32,66.65,-52.06,36.74,31.62,21.61,59.81,43.33,34.06,540.53,408.45,60.49,-51.57,-31.25,-70.68,-91.49,-104.43,-89.11,-99.06
-3.94,-2.34,-0.43,-0.33,-0.15,-0.18,-0.2,-0.22,-0.19,-0.25,4,3.84,3.86,2.46,1.5,1.09,0.75,0.62,0.91,1.08,4,4,0.95,1.55,0.97,0.31,0.34,0.49,0.42,0.47,342.53,-13.18,-47.79,-59.51,38.88,21.24,-8.54,-15.75,-70.01,-58.84,-568.05,-79.65,105.47,-17.52,11.84,20.57,-13.73,-17.21,21.67,18.37,631.53,335.75,245.67,70.13,42.72,11.05,-2.38,1.22,5.07,-22.52
-3.5,-4,-4,-4,-3.62,-0.75,0.4,0.23,0.24,0.08,-3.36,-2.89,0.79,4,4,4,4,1.78,1.59,1.64,1.1,2.14,1.88,4,3.84,0.19,0.55,0.73,0.51,0.65,-155.64,214.36,184.14,505.31,-82.28,-287.9,216.8,-48.89,24.23,-61.16,121.58,-82.95,-15.38,-340.15,-207.28,209.11,-120.54,-8.85,-35.03,-28.02,9.34,483.76,909.24,822.88,550.9,413.27,89.05,3.17,-11.23,-56.76
-3.35,-4,-4,-4,-4,-4,-1.71,-1.32,-0.23,-0.14,-2.65,-3.86,-1.05,3.37,4,4,4,1.95,1.26,1.3,1.29,2.21,1.78,1.58,4,2.53,-0.03,1.68,0.87,0.27,-11.11,-1.89,445.13,455.2,177.67,-202.58,316.35,-207.21,23.68,47.12,107.54,163.57,111.33,-263.67,-463.2,156.49,-43.4,6.04,39.55,24.84,-137.63,269.47,867.37,1112.92,967.1,730.29,343.02,-57.43,29.54,-30.52
-3.45,-4,-4,-4,-4,-4,-0.76,-1.72,-0.25,-0.01,-3.59,-2.79,1.23,4,4,4,4,1.01,1.94,1.61,1.94,2.47,1.54,3.63,4,0.92,2.36,1.17,0.37,0.62,-123.11,320.01,391.3,479,144.9,-108.95,245.97,-141.66,184.39,-119.45,-6.41,17.09,-43.58,-420.35,-513.31,199.77,-328.06,121.34,-44.49,17.52,-193.97,484.31,1020.87,1191.1,878.11,741.46,45.84,60.67,103.64,-8.79
