0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-2.68,-4,-4,-4,-4,-4,-4,-3.54,-2.54,-1.95,4,4,4,4,4,1.63,-0.09,-1,-0.98,-0.23,-0.78,-2.6,-3.42,-3.41,-2.73,-0.83,1.96,1.04,0.92,0.83,181.34,281.13,278.44,367.25,-46.02,-173.46,-131.59,106.63,-49.5,28.32,161.32,193.12,214.6,-26.43,62.62,-47,-201.66,-119.69,85.08,41.02,-84.53,-296.26,-1086.06,-1551.7,-1352.11,-1177,-209.23,-173.95,14.95,186.46
-2.94,-4,-4,-4,-4,-4,-3.37,-3.03,-1.93,-1.3,4,4,4,4,4,-0.34,0.39,-0.6,-0.48,0.1,-0.67,-1.09,-2.3,-1.48,-0.72,2.22,1.52,1,0.58,0.66,269.71,202.27,402.65,160.16,-210.14,-337.95,64.64,67.93,-12.21,23.56,197.81,243.16,217.71,135.86,278.02,-146.73,-138.98,37.23,127.26,35.83,-162.48,-532.53,-1302,-1557.01,-1473.14,-347.35,-188.05,-160.46,93.02,215.15
-3.73,-4,-4,-4,-4,-4,-3.43,-2.72,-2.09,-1.52,4,4,4,4,2.91,-0.43,-0.48,-0.99,-0.62,-0.17,-1.61,-2.5,-3.89,-3.41,-1.5,2.19,1.49,0.91,0.72,0.61,178.96,219.36,436.4,132.75,-286.07,-461,184.88,28.44,34.91,13.79,162.66,143.74,121.15,36.5,46.51,-316.28,-184.33,62.07,14.83,42.85,-209.23,-890.14,-1372.44,-1348.14,-1273.62,-236.02,-198.49,-110.53,88.13,198.67
-2.47,-4,-4,-4,-4,-4,-4,-4,-3.2,-2.03,3.98,4,4,4,4,4,-0.65,-0.91,-1.01,-0.51,0.86,1.3,0.45,-0.86,-0.84,-0.39,1.96,1.78,0.43,0.35,192.44,91.92,48.58,-43.88,152.47,42.72,-420.59,112.79,65.25,34.48,130.8,157.96,315.67,264.04,183.17,248.54,-33.45,-56.76,124.27,96.92,21.3,-174.32,-575.2,-1181.27,-1640.87,-1469.06,-745.97,-225.83,-83.98,90.76
-2.8,-4,-4,-4,-4,-4,-4,-4,-2.39,-1.44,3.85,4,4,4,4,0.43,-1.54,-1.83,-0.71,0.11,1.07,0.72,0.02,0.7,-0.65,0.61,0.65,0.96,1.02,0.95,115.72,19.47,-277.95,161.8,-139.59,-395.26,145.87,-58.11,-48.58,15.81,100.4,181.64,100.77,-91.37,3.91,-337.65,-156.8,-42.79,67.87,84.96,-107.85,-330.32,-920.35,-1493.59,-1465.76,-1226.68,-465.45,-178.1,48.28,102.91
-3.15,-4,-4,-4,-4,-4,-4,-3.92,-2.35,-1.63,4,4,4,4,4,2.72,-2.15,-0.74,-0.16,0.2,0.35,-1.36,-4,-4,-3.39,-1.7,1.88,0.58,0.89,1.23,66.65,115.66,229.37,297.73,131.29,-141.05,-575.74,197.2,-48.77,-53.34,111.15,295.17,171.39,-116.82,20.14,-121.46,-271.91,-207.89,-0.55,31.31,-149.66,-406.86,-987.49,-1402.4,-1445.01,-1289.12,-381.35,-149.72,32.04,138.12
-2.85,-4,-4,-4,-4,-4,-4,-4,-2.75,-1.86,3.62,4,4,4,4,3.5,-0.4,-0.38,-0.56,-0.14,0.75,0.5,-1.98,-3.52,-1.4,1.19,1.13,1.59,1.18,1.6,62.38,72.51,-12.39,213.93,-71.29,-231.26,35.4,-35.22,-2.08,40.1,88.13,191.22,240.42,33.39,40.89,-67.99,-221.13,25.94,62.26,24.48,-110.11,-328.25,-993.71,-1417.79,-1598.02,-1435.61,-513.79,-284.55,-75.38,80.26
-2.76,-4,-4,-4,-4,-4,-4,-4,-2.63,-1.98,3.92,4,4,4,4,4,1.32,-0.64,-0.02,-0.45,0.51,-0.14,-0.99,-2.24,-0.44,0.83,1.85,1.23,1.53,1.21,75.32,101.5,-166.99,248.96,264.1,-558.96,136.96,-98.02,-1.22,68.12,157.53,216.37,99.18,-7.69,104.37,154.54,-195.13,91.37,79.16,105.22,-151.73,-406.31,-1060.67,-1659.24,-1706.18,-1268.8,-644.1,-262.63,-55.18,16.72
-3.64,-3.83,-4,-4,-4,-4,-4,-4,-4,-2.96,3.47,4,4,4,4,4,3.1,-2.16,-0.48,-0.24,-0.81,-1.02,-1.04,-2.94,-1.23,-1.89,-0.19,1.3,-0.12,1.39,141.3,65.55,153.08,234.07,-5.86,-23.01,-168.03,92.77,71.84,-66.96,94.54,145.02,247.19,190.49,-51.94,-172.91,-209.96,-157.9,65,88.38,-28.26,-291.99,-701.9,-977.11,-1428.71,-1448.49,-1236.27,-765.81,-224.43,-56.82
-3.16,-4,-4,-4,-4,-4,-4,-4,-3.98,-2.75,3.51,4,4,4,4,4,1.52,-1.22,-0.25,-0.64,0.58,-0.73,-1.83,-1.3,-2.29,-0.73,0.82,2.27,1.52,1.53,15.69,176.94,62.44,-35.71,6.41,-89.36,-237.49,-72.75,92.22,-33.45,147.52,286.74,152.89,161.68,-154.36,-58.84,-285.22,-118.16,53.1,194.27,-295.53,-407.35,-788.82,-1217.35,-1395.51,-1384.58,-992.19,-492.8,-224.73,-58.11
-3.56,-4,-4,-4,-4,-4,-4,-4,-3.29,-2.79,3.94,4,4,4,4,4,0.81,-0.83,-0.5,-1.61,-0.7,-1.38,-2.55,-4,-1.8,-0.62,1.44,0.8,1.53,0.64,153.75,238.46,225.4,403.63,123.47,-102.36,-111.27,20.2,45.84,-27.77,199.34,210.94,314.88,416.08,280.64,38.27,-97.9,-49.44,40.04,167.48,-126.77,-360.72,-839.97,-1261.96,-1583.19,-1164.55,-936.71,-305.85,-101.56,-38.33
-3.14,-4,-4,-4,-4,-4,-4,-3.52,-2.55,-1.95,4,4,4,4,4,1.35,0.08,-0.28,-0.38,-0.3,-1.18,-3.48,-3.43,-2.88,-1.04,1.98,1.59,1.2,1.27,1.34,-3.78,409.55,120.18,180.18,-293.33,-466.13,160.71,-15.93,-35.22,23.56,166.75,237.73,239.01,-45.53,9.52,-282.35,-188.23,-10.13,35.16,16.91,-269.65,-482.79,-1224.91,-1428.1,-1270.69,-939.45,-366.15,-225.83,-31.13,88.2
-4,-4,-4,-4,-4,-4,-3.62,-2.83,-2.23,-2.01,4,4,4,4,2.38,1.18,-0.56,-0.1,0.08,-0.73,-0.43,-1.57,-1.55,-1.81,-0.68,1.67,0.71,0.71,0.75,0.72,159.91,162.29,65.25,85.39,-213.13,-126.16,53.59,25.15,41.75,-20.57,164.18,148.19,6.41,53.1,-152.53,-207.64,-39.43,-7.51,28.93,62.56,-472.29,-745.79,-1241.52,-1408.87,-1034.36,-764.34,-298.89,-142.88,-44.49,-1.77
-2.7,-4,-4,-4,-4,-4,-4,-3.25,-2.28,-1.55,4,4,4,4,4,1.31,-0.8,-0.62,-0.18,-0.29,0.51,0.26,-1.19,-1.54,-0.75,0.85,2.43,1.25,0.73,0.81,178.77,28.75,-67.87,196.17,-70.8,-342.22,-74.04,5.92,58.72,74.65,142.94,191.65,222.41,41.56,80.38,-87.59,-115.23,74.52,101.44,39.06,-203.86,-502.2,-1066.53,-1427.73,-1317.93,-866.03,-459.17,-188.29,-53.28,66.65
-3.34,-4,-4,-4,-4,-4,-3.67,-3.16,-2.54,-1.73,4,4,4,4,3.92,1.14,0.01,-0.25,-0.63,-0.29,-0.26,-1.11,-2.67,-1.84,-1.27,1.16,2.33,1.43,0.93,0.86,173.16,95.15,379.52,9.89,-77.45,-358.4,-61.71,83.62,59.2,-15.93,112.79,226.07,108.95,75.38,142.64,-169.19,-49.5,-21.36,48.65,64.51,-321.29,-571.29,-1100.22,-1291.69,-1194.27,-756.71,-288.82,-229.61,-46.81,99.24
-3.44,-4,-4,-4,-4,-4,-3.77,-2.82,-2.26,-1.64,4,4,4,4,2.52,0.11,-0.44,-0.32,-0.38,-0.36,0.21,-0.04,-2.64,-2.34,-0.86,0.62,1.65,0.93,0.6,0.78,35.1,4.82,269.47,-48.46,-219.85,-153.2,5.74,45.84,33.57,13.92,124.02,173.1,200.87,23.62,-37.78,-291.99,-142.64,45.29,89.23,80.14,-244.81,-567.44,-1187.5,-1302.61,-1157.29,-751.53,-338.5,-217.29,-80.08,52.25
