aX,aY,aZ,gX,gY,gZ
-2.42,-2.29,-0.59,271.85,-69.58,-31.62
0.32,-0.32,0.51,76.9,-51.21,150.15
0.98,0.12,-0.51,52.98,82.82,85.08
0.59,-0.58,-0.94,53.04,57.62,33.87
-3.78,0.23,-3.29,168.33,235.17,128.42
-4,4,-2.39,-7.87,-27.59,-139.71
-4,4,-3.55,538.02,138.92,-1679.14
-4,4,-3.98,-16.54,90.7,-2000
-4,-4,-1.67,327.21,-236.94,-1177.55
-4,-3.84,-0.3,44.74,-2.32,-448.36
-2.84,-3.06,-1.56,178.16,-1.65,23.07
-0.13,-0.53,0.21,23.74,-159.48,266.05
0.76,0.43,0.11,-49.01,87.1,164.06
0.64,-0.06,-0.43,64.94,88.01,92.29
-3.84,0.78,-2.77,126.04,216.06,-10.13
-4,4,-3.67,127.38,27.95,-385.56
-4,4,-4,392.94,-76.97,-1479.68
-4,3.15,-3.32,148.5,62.5,-1998.29
-4,-4,-2.12,396.61,-166.44,-1110.96
-4,-4,-0.97,4.39,89.23,-337.59
-1.96,-1.71,-2,72.94,-162.17,161.32
-0.17,-0.28,1.29,-67.81,-156.43,216.06
0.56,-0.14,-0.28,-61.58,116.82,134.09
0.64,-0.28,-0.67,16.11,35.16,132.39
-3.71,0.67,-3.09,121.15,207.64,-70.8
-4,3.22,-3.91,135.99,104.98,-493.96
-4,4,-4,547.61,-76.35,-1764.83
-4,4,-4,272.03,106.08,-2000
-4,-4,-2.31,357.06,-233.34,-1159.61
-4,-4,0.07,-38.82,-49.19,-361.76
-2.71,-2.56,-0.8,147.4,-111.63,145.08
0.13,0,0.9,4.52,-103.39,314.51
1.1,0.7,-0.93,-43.95,150.39,188.6
1.24,0.29,-0.87,15.2,8.91,111.82
-4,0.42,-3.47,119.02,305.85,71.84
-4,4,-4,82.21,30.94,-263.31
-4,4,-4,352.66,-136.9,-1632.69
-4,4,-4,336.24,-94.3,-2000
-4,-3.55,-1.77,177.43,-225.65,-1174.07
-4,-3.92,0.42,-81.3,-68.48,-494.2
-2.95,-3.8,-0.9,85.88,-198.85,121.64
-0.83,-0.46,1.71,76.97,-195.13,357.36
0.4,0.46,-0.24,-13.85,99.12,272.28
0.5,0.01,-0.58,50.05,22.09,225.28
-3.95,0.78,-2.74,101.68,134.77,81.6
-4,4,-3.05,112.73,-61.83,-272.46
-4,4,-4,440.19,-32.04,-1752.99
-4,3.04,-4,129.21,-134.83,-1999.94
-4,-4,-2.29,672.85,-388.67,-848.08
-4,-4,-1.23,215.58,167.79,-401.61
-1.83,-2.33,-2.38,226.38,-58.23,97.66
-0.26,-0.33,0.87,-89.42,-128.91,280.64
1.01,0.4,0.12,-32.71,52.92,146.61
0.93,-0.01,-0.33,39.92,90.45,82.28
-4,1.71,-2.26,25.63,-62.81,-339.9
-4,4,-3.77,286.8,-219.18,-1033.26
-4,4,-4,410.03,-273.19,-1997.99
-4,-4,-0.29,164.92,-408.63,-1521.48
-4,-3.95,-1.92,211.12,-62.19,-671.26
-3.71,-3.44,0.77,-30.21,-52.37,52.73
-0.61,-0.63,1.29,116.09,-89.78,242.07
0.76,-0.02,-0.34,39.73,147.71,135.13
0.89,-0.41,-1.05,67.81,88.07,73.67
0.59,-0.6,-0.79,5.37,71.53,43.21
-4,0.7,-2.94,126.95,-250.12,-1139.47
-4,3.85,-3.43,463.93,-573.97,-1818.6
-4,-1.14,-2.09,494.81,53.89,-1696.17
-4,-4,-2.54,237.18,63.35,-785.83
-3.2,-3.97,-0.73,-76.05,-27.65,10.44
-0.83,-0.52,-0.18,87.95,-275.88,289.25
0.41,0.83,0.98,65,-97.11,385.86
0.54,0.21,-0.18,-52.19,73.67,143.37
0.35,0.19,-0.71,11.05,59.69,188.84
0.03,0.14,-0.77,1.04,44.56,229.25
-4,1.7,-2.12,2.93,7.39,-187.87
-4,3.85,-2.84,134.77,-93.81,-707.95
-4,4,-4,538.09,-187.32,-1558.17
-4,0.59,-3.18,73.18,-67.02,-1882.87
-4,-3.26,-2.52,491.88,-192.14,-963.5
-4,-4,0.21,-143.31,99.85,-393.62
-1.83,-2.16,-1.31,204.04,-150.63,256.71
-0.74,0.83,1.23,-10.38,-184.94,414.55
0.63,0.89,0.23,-61.95,87.59,189.15
0.75,0.26,-0.63,-1.22,102.66,106.93
-3.31,0.75,-3.61,115.23,103.33,-51.94
-4,2.74,-2.88,126.83,-160.16,-466.13
-4,4,-4,603.21,-356.93,-1587.34
-4,4,-4,332.09,-341.74,-2000
-4,-4,-1.68,297.18,-71.66,-1128.72
-4,-4,-0.28,-115.11,40.04,-405.7
-1.9,-1.83,-0.66,170.72,-152.22,191.1
-0.36,-0.3,0.75,113.65,-224.18,273.32
0.62,0.51,-0.01,-7.51,24.23,218.57
0.55,0.07,-0.31,23.01,73.06,107.91
-3.78,1.61,-2.12,135.25,-71.35,2.26
-4,4,-1.87,98.27,-115.36,-386.6
-4,4,-4,444.03,-96.25,-1582.4
-4,3.12,-4,292.91,-70.07,-1977.36
-4,-4,-2.41,428.77,-121.22,-950.5
-4,-3.51,-1.37,-18.98,-90.64,-304.38
-2.17,-2.09,-0.07,-46.14,20.87,163.76
-0.26,-0.44,0.16,103.52,-114.69,262.21
0.44,-0.04,-0.15,-12.39,34.12,179.63
0.79,0.03,-0.52,-13.73,94.42,161.13
-3.86,2.47,-2.13,-47.3,-26.31,-196.84
-4,4,-2.69,218.38,-333.25,-987.18
-4,4,-4,716.55,-34.24,-2000
-4,-2.15,-1.7,38.09,-116.64,-1561.77
-4,-2.84,-0.8,176.82,-111.39,-572.45
-3.56,-3.08,0.54,20.81,80.02,-177.06
-1.18,-1.49,-0.71,182.74,-72.63,243.96
0.24,0.12,-0.13,-4.15,-36.62,197.88
0.44,-0.16,-0.4,-6.16,65.8,143.49
0.5,-0.45,-0.51,2.69,70.62,154.42
-3.79,1.53,-2.4,64.03,2.75,-54.75
-4,4,-2.41,174.38,-238.46,-599.98
-4,4,-4,574.16,-166.44,-1947.69
-4,1.72,-2.24,-76.6,-219.3,-1862.37
-4,-2.85,-1.38,171.33,-239.75,-868.41
-4,-3.53,1.48,-143.68,-61.77,-365.17
-2.4,-3.15,0.02,368.35,-158.08,68.66
-0.13,-0.22,-0.29,116.39,-33.26,310.06
0.97,0.32,-0.67,-43.15,81.48,179.57
0.81,-0.27,-0.47,75.93,72.75,105.22
-4,2.37,-1.56,-28.32,-109.56,-271.24
-4,3.28,-2.09,169.07,-99.98,-776.73
-4,3.99,-3.98,351.75,-293.7,-1649.66
-4,0.5,-2.18,-38.21,-328.37,-1743.96
-4,-4,0.89,119.38,-222.29,-813.05
-3.38,-3.79,1.2,99.67,78.31,-203.12
-1.17,-1.42,-2.3,217.83,192.02,209.05
-0.43,-0.31,-0.56,97.41,-221.13,279.3
-0.13,0,-0.04,-20.75,-90.76,224.12
0.05,0.05,-0.53,-62.81,69.46,211.18
-4,1.32,-1.98,10.86,31.19,17.27
-4,3.56,-2.2,-39.79,-140.08,-446.11
-4,3.37,-4,416.38,-315.86,-1582.21
-4,4,-4,382.75,-331.73,-2000
-4,-4,-0.89,92.47,-140.81,-1333.92
-4,-4,1.34,176.88,-89.9,-424.87
-1.62,-2.69,-1.59,417.42,-22.16,212.65
-0.25,-0.36,-0.64,72.2,-128.42,267.76
0.39,-0.01,-0.19,-108.22,6.77,152.53
0.46,-0.08,-0.4,-35.58,55.48,99.73
-4,1.2,-3.01,82.82,130.68,-91.19
-4,4,-3.55,33.94,-188.72,-632.26
-4,4,-4,613.46,-294.01,-1879.82
-4,1.22,-2.3,-129.03,-336.98,-1999.76
-4,-4,-1.46,444.95,-239.5,-808.29
-4,-4,0.39,-60.24,-126.46,-135.38
-1.06,-1.43,-0.1,92.96,-115.54,340.76
0.28,0.32,0.7,63.42,-68.12,276.37
0.67,-0.06,-0.23,-61.83,75.01,88.07
0.49,-0.41,-0.4,16.78,55.73,60.18
-4,1.21,-2.24,43.33,44.19,124.08
-4,4,-2.78,-39.86,-129.82,-403.69
-4,4,-3.38,342.71,-275.27,-1349.98
-4,4,-4,437.68,-114.38,-2000
-4,-4,0.84,161.68,-107.36,-1186.95
-4,-2.86,-2.18,102.97,-43.03,-408.75
-2.37,-2.57,-0.72,-83.98,98.69,-13.18
-0.47,-0.87,0.16,103.7,-242.86,213.68
0.1,-0.1,0.11,-56.27,-14.71,223.94
0.27,-0.25,-0.21,-71.41,66.96,177.61
-4,2.15,-1.29,-61.46,-150.63,-277.1
-4,4,-0.57,174.87,-232.36,-951.23
-4,4,-4,482.3,113.59,-1952.21
-4,-2.56,-2.38,18.68,-24.66,-1578.67
-4,-2.76,-2.86,47.18,-109.74,-658.87
-4,-3.09,0.91,-294.8,-82.15,-420.65
-1.35,-2.03,0.66,27.65,-83.98,55.66
-0.37,-0.99,0.29,76.11,-95.52,171.14
-0.39,-1.58,-0.41,-8.42,99.55,136.41
-0.67,-1.19,-0.65,-1.77,123.84,290.53
-4,1.62,-2.16,-44.68,-29.17,-260.25
-4,4,-1.81,51.03,-404.17,-1072.02
-4,4,-4,459.96,-64.76,-2000
-4,-1.07,-0.8,-56.46,-337.34,-1635.56
-4,-3.34,-1.76,214.9,-158.14,-831.79
-4,-3.92,-1.18,15.56,63.78,-41.32
-1.8,-1.93,0.55,139.89,-319.82,203.55
-0.07,-0.24,0.58,-4.21,-11.29,311.34
0.31,-0.11,-0.25,-69.4,135.5,195.92
0.24,-0.61,-0.55,41.87,76.35,161.44
-3.4,2.51,-1.51,-90.94,41.38,-215.64
-4,3.25,-0.85,57.19,-19.23,-828.49
-4,4,-3.02,484.31,71.17,-1617.8
-4,0.65,-3.38,214.97,302.86,-1815.8
-4,-4,-3.03,396.12,74.46,-770.2
-3.07,-2.82,-1.15,-130.8,7.14,-166.02
-0.58,-0.38,-0.85,-78.25,-39.31,66.96
-0.33,-1.32,0.15,79.28,-82.46,65.67
-0.26,-0.99,-0.52,1.28,110.78,132.87
-0.13,-0.74,-1.18,-9.4,134.34,213.13
-3.97,0.88,-2.65,73.06,204.77,-165.95
-4,3.56,-2.64,90.7,6.35,-644.1
-4,4,-4,583.19,99.55,-1637.82
-4,3.89,-4,555.18,196.29,-1936.52
-4,-1.64,-3.69,217.41,101.01,-1279.79
-4,-1.18,-2.77,303.16,-219.36,-556.95
-3.16,-2.46,-1.05,29.6,-65.67,-74.46
-1.13,-1.72,-0.44,-30.03,-20.39,130.68
-0.51,-1.09,0.03,-59.14,25.82,115.05
0.01,-0.94,-0.12,6.59,17.27,159.3
-3.52,0.72,-3.11,112.43,245,37.23
-4,1.9,-3.02,5.62,89.05,-295.17
-4,1.87,-1.93,101.32,29.36,-862.85
-4,4,-4,458.25,-73.18,-1762.02
-4,1.84,-3.98,237.37,-127.08,-1881.04
-4,-2.28,-2.79,214.9,-62.74,-1068.42
-4,-4,-0.33,-34.79,-47.67,-445.31
-2.17,-1.9,-0.31,74.83,-177.55,163.09
-0.68,-0.93,0.5,-12.21,-99.79,265.75
-0.05,-0.56,-0.05,-11.96,48.16,212.77
-4,1.54,-1.71,-15.01,77.94,-142.03
-4,4,-2.11,70.62,84.35,-729.06
-4,4,-4,508.42,-41.32,-1999.94
-4,-4,-4,-117.13,-219.85,-1927.19
-4,-4,0.4,101.14,-354.13,-324.95
-2.61,-4,0.5,39.43,-7.45,32.71
0.38,0.15,0.91,41.02,107.54,157.9
1.03,-0.31,-0.87,47.3,64.39,68.18
0.73,-0.25,0.02,-24.05,13.55,69.7
0.58,-0.56,-0.02,-25.51,65.12,63.9
-4,0.83,-3.2,149.48,205.26,-27.65
-4,4,-3.79,106.93,-50.96,-546.14
-4,4,-3.97,435.3,40.34,-1929.69
-4,-0.54,-3.73,-125.12,-46.81,-1995.18
-4,-3.85,-2.65,492,-344.24,-596.98
-4,-3.26,0.24,-141.66,-45.23,-339.72
-2.06,-1.81,0.6,-29.79,-122.07,89.72
-0.21,-0.65,1.17,17.27,-80.93,93.99
0.1,-0.9,0.2,47.24,69.03,58.41
0.34,-1.26,-0.71,2.08,120.54,120.67
-4,2.16,-1.93,104.86,227.29,72.02
-4,4,-1.9,-9.95,21.55,-495.91
-4,4,-3.76,261.96,124.88,-1994.57
-4,0.03,-1.65,-80.44,-67.57,-1958.68
-4,-4,-1.4,-14.22,-66.71,-749.69
-3.77,-3.02,1.22,-122.68,-94.67,-135.31
-0.73,-1.14,0.6,203.06,-127.81,157.71
0.5,-0.34,-0.17,101.81,53.34,129.64
0.71,-0.56,-0.87,55.73,56.52,69.89
0.58,-0.52,-0.74,17.82,8.18,76.72
-3.99,1.04,-2.52,78,126.16,31.62
-4,4,-3.87,146.67,38.33,-367.98
-4,4,-4,437.07,-58.23,-1710.08
-4,4,-4,427.86,-8.48,-2000
-4,-3.44,-1.47,318.91,-74.58,-1171.75
-4,-3.9,-1.04,18.31,86.06,-444.76
-2.82,-2.6,-1.52,-6.96,-44.74,196.35
-0.43,0.03,1.26,70.62,-245.79,318.05
0.49,0.18,0.23,-53.16,61.58,192.26
0.48,0.05,-0.26,-15.56,60.42,172.42
-3.71,1.05,-3.71,127.81,246.58,56.76
-4,4,-4,169.74,62.99,-272.22
-4,4,-4,464.23,-94.54,-1647.71
-4,3.45,-3.58,-122.25,-228.94,-2000
-4,-3.44,0.51,295.78,-435.73,-1020.57
-4,-4,1.15,9.95,-25.7,-334.41
-2.17,-1.73,-1.14,142.15,-75.62,128.11
-0.27,-0.05,0.65,93.08,-155.52,262.7
0.66,0.01,-0.16,10.44,44.31,155.21
0.55,-0.29,-0.78,32.35,52.43,98.02
-4,1.54,-1.75,-5.37,36.8,-45.23
-4,3.99,-2.58,-31.25,-158.2,-645.2
-4,4,-4,565.86,-259.89,-1859.86
-4,1.8,-3.18,108.76,-185.67,-1999.63
-4,-4,-1.55,397.16,-186.28,-882.75
-4,-4,0.56,0.92,1.4,-184.63
-1.04,-0.08,0.27,157.04,-197.81,322.51
0.49,0.08,0.81,73.24,-26.18,148.62
0.85,-0.3,-0.49,9.52,85.51,94.6
0.67,-0.45,-0.67,5.8,26.18,86
-4,1.47,-2.02,69.27,-7.69,-130.31
-4,3.89,-2.67,68.3,-41.32,-639.4
-4,4,-4,565.49,-140.14,-1855.22
-4,2.58,-3.95,91.43,-31.37,-1999.21
-4,-4,-1.53,411.93,-115.36,-884.34
-4,-3.9,-0.31,-209.59,30.21,-218.51
-1.44,-0.56,1.11,67.63,-307.92,338.87
-0.11,-0.11,1.05,7.26,-10.44,233.52
0.44,-0.45,-0.42,-38.51,168.15,185.36
0.5,-0.25,-0.61,5.43,48.77,251.59
-3.65,1.08,-3.11,121.58,231.02,63.54
-4,4,-3.36,-17.76,40.89,-361.15
-4,4,-3.48,234.62,-165.04,-1339.29
-4,4,-4,238.95,53.28,-2000
-4,-4,0.99,586.67,-230.35,-843.08
-4,-3.64,-0.75,97.84,-42.36,-268.98
-1.57,-1.98,-1.78,58.41,76.84,128.85
-0.11,-0.39,0.44,10.01,-138.61,201.66
0.48,-0.24,-0.39,-71.78,148.93,166.81
0.75,-0.39,-1.02,-47.91,113.04,115.66
-3.93,1.83,-1.77,-12.7,79.47,-10.13
-4,4,-1.13,7.57,-148.86,-721.62
-4,4,-3.98,343.38,175.84,-1978.82
-4,-0.56,-1,-90.03,12.88,-1913.88
-4,-3.1,-2.16,467.77,-5.8,-691.16
-3.79,-3.7,-0.88,17.21,-0.12,-264.4
-1.1,-1.55,-0.85,-37.6,-68.54,35.34
0.03,-0.85,0.32,52.12,-102.54,133.24
0.39,-0.65,-0.4,-12.02,41.32,75.44
0.47,-0.6,-0.81,-14.34,71.9,111.63
-4,1.42,-2.07,6.41,99.49,109.56
-4,4,-1.62,-57.98,42.85,-328.61
-4,4,-4,391.17,188.11,-1882.51
-4,2.15,-4,69.64,108.28,-1999.63
-4,-2.38,-3.83,367.68,-286.74,-924.99
-4,-3.36,1.29,15.56,-134.77,-428.53
-3.55,-4,0.08,48.52,-0.12,38.7
-0.57,-1.03,0.89,72.63,-121.22,145.08
-0.08,-0.64,0.14,12.94,70.37,146.97
0.31,-0.88,-0.76,3.54,96.07,158.33
-3.71,0.88,-2.68,-9.83,199.04,-238.04
-4,3.09,-1.71,-170.59,-36.5,-614.99
-4,4,-2.84,390.2,-29.91,-1623.6
-4,4,-4,335.51,198.49,-2000
-4,-4,-4,594.79,80.32,-937.13
-4,-3.93,0.13,-414.55,-115.91,-129.76
-1.46,-0.68,0.76,-149.29,-55.18,198.36
0.24,-0.13,0.63,77.21,-21.55,181.76
0.56,-0.59,-0.53,33.75,147.71,74.4
0.62,-0.44,-1.74,26,140.69,55.24
-4,1.3,-2.72,129.82,223.14,-6.41
-4,4,-3.06,8.24,19.53,-455.93
-4,4,-2.04,226.62,-45.78,-1674.44
-4,4,-4,390.14,31.62,-2000
-4,-3.22,-2.93,106.81,67.38,-1257.02
-4,-2.73,0.34,-296.75,-108.4,-365.11
-2.94,-2.37,0.42,62.74,-116.64,-31.25
-1,-0.81,0.75,56.34,-112.37,222.72
-0.12,-0.43,0.07,42.85,9.22,182.37
0.27,-0.44,-0.6,35.1,62.07,193.54
-4,2.33,-1.64,-46.75,92.47,-77.09
-4,4,-1.73,0.06,-34.73,-842.47
-4,4,-4,250.85,-43.58,-2000
-4,-1.46,-1.02,-3.78,-217.59,-1757.39
-4,-3.6,-1.04,319.03,-91.61,-727.23
-3.83,-3.26,-0.78,71.17,52.73,-154.05
-1.05,-2.73,-0.83,59.2,-95.21,165.71
-0.02,-0.46,0.42,-69.95,-44.31,228.03
0.16,-0.39,-0.15,-51.94,61.4,221.07
0.13,-0.27,-0.9,-13.37,62.19,235.47
-4,2,-4,134.64,200.62,-55.85
-4,4,-3.48,64.94,-95.58,-760.19
-4,-4,-4,-1118.47,254.7,1157.59
-4,-4,1.89,-478.15,-1331.97,-1843.75
-4,-4,-1.3,718.44,-269.84,-438.66
-2.4,-3.17,2.97,-1.77,-98.94,65.73
-0.33,-1.02,1.26,177.49,73.67,251.16
0.15,0.49,0.58,84.11,134.03,165.28
0.71,-0.09,-0.48,-8.3,105.9,63.96
0.92,0.39,-0.53,25.21,66.41,123.66
-3.57,0.69,-3.52,-26.55,173.46,-23.5
-4,2.63,-2.71,-76.6,-47.67,-580.81
-4,3.67,-4,506.71,-131.35,-1649.66
-4,4,-4,281.13,-25.33,-2000
-4,-2.5,-0.68,158.94,-263.98,-1178.28
-4,-2.64,-0.52,55.11,-43.03,-446.04
-2.46,-2.34,-0.37,114.32,-13.85,-3.42
-0.62,-1.16,0.25,80.81,-75.74,108.34
0.26,-0.68,-0.07,29.85,29.42,155.09
0.75,-0.19,-0.87,38.09,55.54,174.99
-2.93,-0.45,-3.83,88.93,209.29,5.31
-4,2.17,-4,46.02,-15.87,-394.41
-4,4,-4,637.51,-99.12,-1630.37
-4,4,-4,437.99,131.1,-2000
-4,-2.06,-3.05,187.13,-216.55,-1318.6
-4,-3.16,-1.22,31.43,-190.67,-504.52
-2.73,-2.61,-0.18,38.76,-157.17,46.57
-1,-1.3,1.3,-83.68,-63.05,254.21
0.06,-0.5,0.41,50.35,23.19,210.63
0.58,-0.19,-0.53,60.79,64.33,185.06
-3.65,1.04,-3.57,-92.29,176.09,-132.39
-4,4,-2.76,-28.02,-114.62,-908.26
-4,4,-4,566.28,13.85,-1998.11
-4,1.26,-3.91,-128.3,-244.14,-1963.38
-4,-2.37,-1.28,61.1,-378.3,-626.53
-4,-2.84,2.45,-170.65,-65.06,-127.44
-2.45,-1.43,1.95,187.68,-80.32,265.99
-0.08,0.13,-0.13,91.61,136.11,288.51
0.38,-0.09,-0.37,18.37,116.82,280.76
0.29,0.06,-0.6,23.01,95.46,296.63
-4,1.34,-2.46,18.74,199.71,61.52
-4,4,-2.47,-48.65,3.36,-437.62
-4,4,-3.64,403.32,-41.44,-1722.78
-4,3.13,-4,349.06,41.81,-1999.82
-4,-2.59,-1.05,74.04,-127.14,-1257.75
-4,-2.52,-1.58,14.04,-26.67,-572.75
-2.94,-2.87,-1.01,-11.29,-107.6,-44.37
-1.51,-1.96,1.25,11.72,-143.31,73.18
-0.43,-0.97,0.3,33.81,43.46,183.17
-0.06,-0.65,-0.51,21.36,102.17,198.67
-4,1.17,-2.59,19.65,159.42,-66.41
-4,3.56,-2.62,-114.2,-61.65,-754.94
-4,4,-4,670.1,-164.06,-1981.14
-4,0.64,-4,27.04,130.62,-1998.54
-4,-4,-0.22,201.78,-358.83,-603.03
-4,-4,0.94,127.01,-26.25,-232.73
-1.84,-1.8,-0.4,190.06,-242.13,337.71
0.33,0.18,0.94,36.68,-12.94,205.57
0.73,-0.36,-0.28,-21.12,119.14,91.19
0.43,-0.49,-0.72,-64.76,116.64,153.26
-4,0.92,-3.34,111.02,157.59,112.43
-4,4,-3.04,21.06,-45.96,-308.9
-4,4,-3.95,439.88,13,-1638.12
-4,2.95,-4,202.09,-117.61,-2000
-4,-4,-0.62,102.17,-243.96,-1257.75
-4,-3.38,-0.16,51.45,-179.69,-394.29
-1.98,-2.84,-0.4,82.46,-57.5,-22.22
-0.82,-1.39,1.04,18.68,-44.49,180.42
0.1,-0.34,-0.11,7.45,76.78,187.87
0.3,-0.44,-0.82,17.27,74.22,153.99
-4,0.83,-3.88,103.45,336.3,-1.34
-4,4,-3.65,-25.15,-123.11,-592.9
-4,4,-4,478.45,-146.3,-1986.51
-4,-1.4,-1.93,-186.16,-292.11,-1994.87
-4,-4,-1.84,321.59,-391.24,-628.97
-4,-3.53,0.83,-12.39,-39.49,-195.74
-1.3,-2.16,0.83,113.16,-136.05,159.06
0.19,0.07,0.48,81.48,50.72,230.71
0.59,-0.25,-0.74,54.63,99.37,104.86
0.62,-0.32,-0.79,32.29,34.48,114.93
-4,1.19,-2.95,-9.28,98.51,16.6
-4,4,-2.88,93.2,-187.87,-710.51
-4,4,-4,576.42,-364.26,-1993.04
-4,-0.7,0.21,-17.4,-513.85,-1952.94
-4,-4,0.44,556.64,-148.5,-763.49
-4,-4,-1.85,212.77,168.88,-37.29
-0.38,-0.74,-0.59,67.5,-187.62,379.03
1.04,0.6,0.06,-89.23,23.44,254.7
0.95,0.26,-0.71,-63.23,99.98,142.52
0.71,0.25,-0.78,-10.19,-0.55,79.47
-3.84,1.86,-1.59,-96.01,29.54,-109.07
-4,4,-0.16,-4.52,-149.54,-832.82
-4,4,-4,306.52,22.22,-2000
-4,-4,1.57,-206.91,-147.89,-1754.46
-4,-4,-1.34,222.96,-103.82,-401.43
-1.81,-2.31,-0.83,-29.79,5.74,59.75
0.57,-0.02,1.03,81.85,-100.95,200.81
0.64,-0.35,-0.62,-85.45,147.64,9.7
0.52,-0.64,-1.61,-33.33,87.16,123.84
0.48,-0.33,-0.82,-43.88,-6.47,174.5
-3.8,1.82,-2.36,-37.35,-13.73,-63.23
-4,4,-1.17,57.56,-160.89,-748.84
-4,4,-4,546.39,-138.73,-1807.56
-4,0.77,-2.91,215.52,-106.02,-1999.82
-4,-4,-4,549.07,30.15,-697.02
-3.46,-2.71,-0.59,-347.11,-137.82,-44.98
-0.54,-0.45,1.35,-57.62,-115.91,167.54
0.03,-0.61,0.27,-57.74,165.22,28.87
0.46,-0.37,-0.98,31.43,53.04,88.13
0.39,-0.16,-0.46,-30.76,30.09,109.5
-4,0.98,-3.1,84.17,209.96,189.82
-4,4,-3.99,-22.28,-79.04,-295.29
-4,4,-3.93,383.06,-267.76,-1745.24
-4,3.99,-4,555.79,-77.58,-2000
-4,-4,-2.76,402.34,3.91,-1150.51
-4,-3.02,-1.39,134.4,-245.24,-134.52
-2.28,-2.38,-0.53,-72.2,-59.39,196.53
0.11,-0.13,1.24,-49.74,-30.09,228.45
0.86,0.37,-0.25,13.73,152.77,201.97
0.7,0,-0.95,-48.16,139.71,183.47
-3.84,1.3,-3.1,72.57,152.16,-152.16
-4,4,-3.49,135.99,-130.37,-798.71
-4,4,-4,452.03,-313.29,-2000
-4,-2.42,1.45,10.07,-351.99,-1721.86
-4,-3.83,-1.68,389.65,2.26,-784.79
-3.91,-3.83,-1.67,68.42,58.04,-199.28
-1.15,-1.25,0.24,39.37,-163.15,133.12
0.36,-0.39,-0.39,-36.74,58.65,122.86
0.65,-0.58,-0.83,-7.14,47.91,96.44
0.39,-0.69,-0.84,4.15,41.38,143.07
-4,1.51,-2.54,25.02,119.08,-91.49
-4,4,-1.53,-49.07,-280.33,-888.98
-4,4,-4,722.96,-154.66,-2000
-4,-0.63,-1.15,-140.2,190.25,-1953.19
-4,-4,0.14,-105.47,-114.26,-629.27
-3.03,-1.88,0.83,96.25,-106.45,303.04
0.61,0.82,0.61,105.47,-116.76,374.33
1.31,0.35,-0.93,-74.71,158.69,116.33
0.73,-0.65,-0.65,-26.12,19.53,107.67
0.06,-0.9,-0.07,-7.57,15.32,290.16
-4,4,-4,583.92,-170.04,-1699.22
-4,3.17,-2.08,-216.19,-433.23,-1999.82
-4,-2.99,0.17,274.11,-311.83,-1021.91
-4,-4,0.9,138.67,56.7,-358.52
-1.48,-1.62,-0.72,277.1,-194.34,227.97
0.91,0.79,0.02,-61.4,35.52,253.42
0.79,-0.12,-0.54,-60.06,78.98,113.65
0.3,-0.77,-0.5,-11.35,52.49,141.3
-0.09,-0.29,-0.75,1.34,40.47,269.17
-0.55,-0.08,-0.46,15.99,54.14,379.09
-4,4,-4,391.85,-323.73,-1968.75
-4,4,-4,141.72,-53.59,-2000
-4,-1.46,-2.68,251.4,-213.38,-1129.82
-4,-3.53,1.13,-61.16,-132.08,-412.54
-3.25,-2.37,0.98,96.25,-28.99,40.04
-1.06,-0.51,1.1,158.33,-26.67,253.6
0.93,0.17,-1,21.97,160.52,239.56
0.87,-0.06,-0.8,-15.08,70.5,212.52
0.43,-0.08,-0.35,-45.72,46.63,211.61
-0.11,-0.4,-0.38,-60.3,70.43,247.62
-4,4,-4,318.18,-429.75,-1999.76
-4,4,-0.64,509.28,-42.79,-1925.17
-4,-4,-1.98,-82.03,192.26,-477.66
-3.33,-1.36,-0.69,-157.65,-164.86,174.62
-0.5,-0.69,1.65,-42.66,-190.67,305.6
0.5,0.21,-0.31,-13.12,115.3,189.15
0.55,-0.34,-1,76.48,-30.4,112
0.12,-0.59,-0.52,5.55,-40.16,157.71
-0.28,-0.35,-0.46,-23.5,32.53,290.22
-0.56,-0.62,-0.58,57.01,42.6,397.83
-4,-3.03,-2.49,262.21,-23.25,-1148.93
-4,-4,-1.17,106.26,104.13,4.7
-1.2,-0.11,0.78,193.18,-392.09,476.93
0.86,1.55,0.7,-130.98,106.08,241.52
0.63,-0.52,-0.83,-20.69,143.43,28.32
0.39,-0.01,-0.79,-80.93,15.69,156.86
0.05,-0.04,-0.62,-26.73,49.44,155.76
-0.49,-0.62,-1.1,-24.84,101.38,248.17
-0.69,-0.03,-1.29,-33.39,19.35,431.52
-1.02,0.34,-0.6,-55.91,-6.59,515.81
-4,4,-4,920.29,-279.11,-1999.57
-4,1.31,-3.75,234.25,-315.12,-1798.95
-4,-3.24,0.46,133.67,27.53,-994.57
-4,-4,-1.09,338.44,72.45,-70.25
-0.86,-0.24,-0.35,195.86,-246.7,403.56
0.78,0.49,-0.34,-48.1,81.42,227.36
0.96,0.78,-0.26,-82.76,9.09,177.25
0.54,0.25,-0.09,-32.47,6.35,51.39
0.32,-0.49,-0.92,-44.07,131.77,102.97
0.55,0.53,-1.16,-37.9,21.48,233.76
-4,4,-3.17,248.11,-75.44,-1114.32
-4,4,-4,503.05,-268.62,-2000
-4,0.78,0.14,-105.41,-339.6,-1882.87
-4,-4,0.11,79.9,108.15,-995.85
-4,-4,-1.46,129.21,-80.38,84.59
-0.86,0.45,1.18,14.28,-245.97,461.24
1.13,0.99,-0.03,-33.08,96.98,167.18
