aX,aY,aZ,gX,gY,gZ
0.09,-0.14,0.49,2.87,35.89,210.21
0.4,-0.2,-0.71,23.25,124.63,145.81
0.34,-0.35,-0.32,-20.94,36.87,203.98
-3.84,1.25,-3.98,175.05,301.7,-51.7
-4,4,-3.75,90.76,39.12,-616.88
-4,4,-4,643.37,-32.84,-1984.5
-4,3.9,-3.28,45.04,63.35,-1992.98
-4,-1.18,-2.63,295.53,-209.29,-802.86
-4,-2.06,1.07,-280.27,23.56,-350.71
-2.54,-1.92,-0.05,116.33,-175.78,96.19
-0.6,-0.59,0.21,80.51,-151.25,211.67
0.24,-0.2,-0.63,-12.51,85.21,232.67
-0.11,-0.42,-0.54,3.48,6.96,258.73
-4,2.41,-2.46,38.57,-40.77,-249.33
-4,4,-2.59,359.99,-109.99,-1066.35
-4,4,-4,587.46,306.46,-2000
-4,-2.95,-1.85,199.58,-17.15,-1507.32
-4,-2.54,-1.47,60.85,110.78,-410.89
-2.68,-1.78,-0.92,-75.26,196.59,-52.61
-0.63,-0.09,0.45,36.13,-311.22,293.58
0.37,0.72,0.41,-60,22.09,198.43
0.41,-0.08,-0.5,-14.28,139.89,87.95
0.22,-0.19,-0.7,-12.39,70.43,173.1
-4,4,-3.99,652.1,314.7,-1854.68
-4,4,-3.7,112.73,394.35,-2000
-4,-3.96,-3.1,160.71,135.44,-681.52
-4,-3.11,0.3,-311.1,94.24,-14.53
-1.05,-0.9,0.48,91.25,-175.9,339.97
0.13,0.03,0.03,42.3,13.61,297.18
0.55,0.16,-0.56,7.93,55.18,222.66
0.43,0.23,-0.5,-4.52,59.88,184.14
0.01,-0.12,-0.67,41.32,104.74,172.67
-1.07,-0.97,-1.6,119.38,46.69,259.64
-4,-1.34,-2.4,264.83,67.26,-700.56
-3.86,-2.09,0.07,-310.97,189.64,-98.57
-1.69,-1.36,-0.34,47.85,-201.23,238.83
-0.67,-0.28,0.57,14.77,-187.93,322.02
-0.22,-0.04,-0.17,-103.33,135.07,311.58
-0.11,0.07,-0.61,1.77,90.88,293.52
-0.39,0.03,-0.84,30.4,16.6,367
-0.72,0.55,-1.01,-81.54,54.63,510.5
-0.83,0.68,-0.93,-101.68,20.02,459.35
-1.42,0.46,-1.29,-50.6,-75.32,491.39
-3.32,2.66,-1.56,5.13,60.97,108.52
-3.84,4,-0.98,-72.57,50.05,-287.41
-4,4,-2.27,382.26,110.66,-1291.32
-4,4,-4,520.14,349.49,-1995.85
-4,-0.55,-2.4,58.72,112.79,-1328.06
-4,-0.47,-2.56,88.38,-210.94,-474.3
-2.98,-1.42,0.73,-256.23,-25.63,-212.89
-1.59,-1.53,0.29,81.42,-89.78,43.21
-0.9,-0.99,0.43,144.17,-163.45,171.33
-0.24,-0.69,-0.09,50.54,33.51,245.97
-4,4,-1.96,264.04,-56.03,-1065.37
-4,4,-4,430.48,215.88,-1997.86
-4,0.61,-1.63,140.62,54.08,-1683.11
-4,-1.2,-3.05,136.11,-38.7,-319.27
-2.98,-1.94,-1.09,-150.21,118.84,-103.88
-1.06,-1.3,-0.48,-40.1,-87.34,155.52
-0.33,-0.69,0.5,-2.44,-156.13,149.72
-0.01,-0.5,-0.09,23.56,119.32,185.79
0.28,-0.4,-1.2,15.14,73.36,192.14
0.17,-0.26,-1.03,13.98,-90.76,237.18
-4,1.74,-2.29,95.21,157.04,278.81
-4,4,-1.61,-117.13,-41.5,-133
-4,4,-2.34,337.16,65.67,-1410.4
-4,4,-4,367.74,194.89,-2000
-4,-3.84,-1.85,159.24,152.53,-1508.85
-4,-2.86,-3.43,108.15,-60.3,-399.48
-2.52,-1.55,0.29,-193.12,-22.58,36.99
-0.46,-1.01,0.86,36.01,-70.25,107.97
-0.16,-0.79,-0.05,53.41,97.05,142.76
-0.49,-1.07,-1.13,76.97,81.54,230.47
-4,4,-4,598.57,203.92,-1915.53
-4,4,-4,451.9,343.75,-1982.12
-4,-0.58,-4,212.83,-23.68,-910.52
-4,-0.95,0.16,-150.45,-31.01,-375.85
-3.08,-2.53,-0.15,86.91,-15.32,-100.1
-1.98,-2.08,0.19,-4.09,158.02,168.7
-0.47,-0.68,-0.41,114.5,3.42,184.88
-0.16,-0.37,-1.05,123.54,31.19,265.99
-0.12,-0.02,-1.14,67.5,-8.54,343.51
-0.43,0.15,-0.76,-3.05,-73.24,374.76
-4,4,-1.36,-117.19,241.52,-1981.93
-4,-3.23,-1.45,221.86,-138.85,-1079.41
-4,-1.29,-0.68,-156.19,-64.45,-451.6
-3.31,-2.42,-0.59,37.84,-61.89,-114.93
-1.35,-1.67,0.74,-29.36,-146.3,99.67
-0.43,-0.86,0.56,-7.45,28.38,181.76
-0.08,-0.53,-0.18,111.57,60.06,207.28
-0.08,-0.26,-0.94,89.42,64.15,233.52
-0.1,-0.04,-0.83,36.25,-0.67,316.96
-0.06,0.58,-0.88,17.64,4.76,355.04
-4,4,-3.96,398.32,307.19,-2000
-4,-2.1,-3.38,247.99,193.66,-1569.21
-4,-3.41,-2.8,-42.97,-2.81,-472.41
-2.82,-2.73,0.21,-225.71,-47,-24.9
-1.13,-1.14,1.46,189.64,-245.97,193.97
0.18,-0.27,-0.14,71.17,108.22,159.97
0.58,-0.15,-0.95,68.54,37.6,170.23
0.51,0.16,-0.73,27.4,-58.78,172.12
0.33,0.06,-0.85,-32.96,0.85,172.42
